更新时间: 2026-08-22 00:31:05（北京时间）

更新时间,#genre#
2026-08-22 00:31:05,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://61.159.134.160:4022/rtp/238.255.2.91:5999$贵州电信
CCTV1,http://58.19.32.207:4022/rtp/239.254.96.96:8550$湖北电信
CCTV2,http://61.159.134.160:4022/rtp/238.255.2.11:5999$贵州电信
CCTV2,http://58.19.32.207:4022/rtp/239.69.1.102:10250$湖北电信
CCTV3,http://61.159.134.160:4022/rtp/238.255.2.133:5999$贵州电信
CCTV3,http://58.19.32.207:4022/rtp/239.69.1.122:10370$湖北电信
CCTV4,http://61.159.134.160:4022/rtp/238.255.2.92:5999$贵州电信
CCTV4,http://58.19.32.207:4022/rtp/239.69.1.138:10466$湖北电信
CCTV4欧洲,http://61.159.134.160:4022/rtp/238.255.2.213:5999$贵州电信
CCTV4欧洲,http://58.19.32.207:4022/rtp/239.69.1.231:11028$湖北电信
CCTV4美洲,http://61.159.134.160:4022/rtp/238.255.2.214:5999$贵州电信
CCTV4美洲,http://58.19.32.207:4022/rtp/239.69.1.232:11034$湖北电信
CCTV5,http://61.159.134.160:4022/rtp/238.255.2.134:5999$贵州电信
CCTV5,http://58.19.32.207:4022/rtp/239.69.1.123:10376$湖北电信
CCTV5+,http://61.159.134.160:4022/rtp/238.255.2.185:5999$贵州电信
CCTV5+,http://58.19.32.207:4022/rtp/239.254.96.234:9484$湖北电信
CCTV6,http://61.159.134.160:4022/rtp/238.255.2.135:5999$贵州电信
CCTV6,http://58.19.32.207:4022/rtp/239.69.1.124:10382$湖北电信
CCTV7,http://61.159.134.160:4022/rtp/238.255.2.12:5999$贵州电信
CCTV7,http://58.19.32.207:4022/rtp/239.69.1.103:10256$湖北电信
CCTV8,http://61.159.134.160:4022/rtp/238.255.2.136:5999$贵州电信
CCTV8,http://58.19.32.207:4022/rtp/239.69.1.125:10388$湖北电信
CCTV9,http://61.159.134.160:4022/rtp/238.255.2.155:5999$贵州电信
CCTV9,http://58.19.32.207:4022/rtp/239.69.1.104:10262$湖北电信
CCTV10,http://61.159.134.160:4022/rtp/238.255.2.13:5999$贵州电信
CCTV10,http://58.19.32.207:4022/rtp/239.69.1.105:10268$湖北电信
CCTV11,http://61.159.134.160:4022/rtp/238.255.2.14:5999$贵州电信
CCTV11,http://58.19.32.207:4022/rtp/239.69.1.154:10560$湖北电信
CCTV12,http://61.159.134.160:4022/rtp/238.255.2.15:5999$贵州电信
CCTV12,http://58.19.32.207:4022/rtp/239.69.1.106:10274$湖北电信
CCTV13,http://61.159.134.160:4022/rtp/238.255.2.16:5999$贵州电信
CCTV13,http://61.159.134.160:4022/rtp/238.255.2.218:5999$贵州电信
CCTV13,http://58.19.32.207:4022/rtp/239.254.96.161:9040$湖北电信
CCTV14,http://61.159.134.160:4022/rtp/238.255.2.17:5999$贵州电信
CCTV14,http://58.19.32.207:4022/rtp/239.69.1.107:10280$湖北电信
CCTV15,http://61.159.134.160:4022/rtp/238.255.2.18:5999$贵州电信
CCTV15,http://58.19.32.207:4022/rtp/239.69.1.155:10566$湖北电信
CCTV16,http://61.159.134.160:4022/rtp/238.255.2.217:5999$贵州电信
CCTV16,http://58.19.32.207:4022/rtp/239.69.1.247:11124$湖北电信
CCTV17,http://61.159.134.160:4022/rtp/238.255.2.137:5999$贵州电信
